906,453,703,593,437,547,656,844,813,782,640,953,625,500,797,860,1015,1313,563,1031,547,500,922,1000,953
650,574,990,919,612,753,1137,520,1233,985,1087,918,712,534,1159,523,899,835,780,1177,705,448,821,609,845
1734,641,797,625,438,515,641,390,672,1156,734,719,953,547,735,547,797,781,656,953,765,484,1688,625,734
593,610,1531,625,500,578,766,438,641,828,1312,656,500,469,891,781,765,719,547,797,610,485,766,609,687
591,631,761,641,561,741,841,681,1061,892,691,1142,771,460,821,421,962,851,581,1312,621,581,982,570,591
860,920,1144,984,809,1001,824,880,992,1000,953,1112,793,623,1119,730,1077,1153,701,1273,864,720,1088,792,1217
811,621,941,651,591,661,811,521,831,891,851,872,701,491,862,561,931,2414,581,791,691,531,911,520,911
880,1050,870,820,660,940,1540,770,1040,1870,990,820,930,550,1270,600,940,1150,880,880,940,600,990,930,830
717,683,912,901,532,660,882,521,880,980,641,986,719,542,1142,593,852,941,541,889,619,551,991,543,671
761,711,1102,811,591,781,861,470,811,891,751,881,711,480,941,481,931,821,550,901,631,501,1813,541,831
546,719,797,688,610,719,875,516,875,953,688,734,688,485,750,594,734,1047,515,1219,797,578,968,516,703
990,710,1370,770,830,880,1160,710,990,1040,1430,820,880,1150,1210,1150,930,2360,600,1200,710,550,1760,710,1050
791,841,1673,1352,811,1633,1762,570,1442,2063,1372,1122,941,661,1612,1062,1432,1422,1112,1672,861,531,2234,721,972
600,870,820,1750,880,830,880,500,1650,2300,1210,1100,720,550,1420,550,1040,1600,1260,930,1040,660,1050,660,1270
791,520,891,761,501,1021,941,641,1072,861,1242,1051,761,501,922,701,1101,1052,711,1121,1101,621,1031,741,821
875,735,907,719,547,781,1203,453,796,1406,1093,735,704,515,906,532,859,2172,563,984,734,563,828,688,828
531,691,1222,761,851,630,971,501,821,911,631,771,611,480,791,571,821,791,591,1182,1062,530,791,521,772
906,813,1047,797,516,625,890,812,1297,1250,1141,1188,750,1062,1219,578,1328,1172,578,969,922,531,1188,859,1032
1202,941,1262,912,882,931,1131,611,1292,1172,831,1171,1222,902,1422,952,1191,1252,1181,1562,1261,601,1332,901,1392
661,781,1052,1172,591,941,1222,561,1552,1352,781,962,951,1002,1312,540,1052,1432,671,1122,821,631,1022,711,1081
721,811,941,561,681,590,741,501,771,1322,681,801,971,540,871,520,962,931,550,821,741,701,881,701,931
521,570,761,561,461,650,791,721,641,972,771,621,571,451,801,590,811,931,481,751,601,411,971,481,581
770,660,980,720,660,660,880,550,830,990,880,990,660,660,1150,770,990,880,660,990,710,550,990,660,880
641,641,841,621,591,571,1112,651,831,901,721,851,681,641,1082,581,851,1052,621,1372,781,591,842,521,721
711,822,621,751,531,661,1192,831,801,1752,1062,1051,801,491,821,591,962,1111,641,831,861,611,991,661,751
813,704,1359,797,1031,797,1000,688,875,1094,1079,1078,766,609,2203,594,2110,1703,781,938,937,515,1156,703,1047
721,1022,981,791,701,761,952,661,951,831,871,831,792,681,1032,671,821,941,641,1022,901,591,1272,771,912
781,851,1032,911,681,891,1072,681,1142,1211,902,1001,871,561,981,600,1092,951,801,1112,701,681,1222,661,781
1327,1242,2000,1293,1113,1240,1242,952,1495,1137,1292,1255,1046,935,1480,931,1730,1337,1200,1193,1198,749,1417,1144,1458
828,766,1079,1422,672,875,1141,562,1015,1172,954,797,750,578,1313,563,1203,1234,813,1031,797,641,1157,688,1016
832,731,991,982,661,942,751,561,841,861,1032,981,721,511,861,701,1171,1132,691,1762,741,511,891,781,841
844,687,1078,1062,547,688,1266,562,891,1000,828,954,703,578,1813,687,1079,953,750,1344,735,688,1078,672,938
610,625,1140,766,500,656,906,438,844,750,937,1015,609,640,1062,688,969,1266,609,922,953,516,1015,500,750
982,652,1074,1088,683,863,921,544,811,1082,864,826,790,662,835,692,752,1030,743,1671,794,495,826,716,815
1091,771,1092,731,691,881,1252,691,911,1112,971,1132,1111,581,1442,711,1051,1452,761,1151,882,561,1262,781,1853
1047,797,1203,594,656,921,844,453,907,813,1000,1015,1438,734,1781,703,984,2172,797,1656,813,609,1000,781,921
578,734,1015,828,547,703,985,750,921,875,796,922,687,547,1125,593,969,891,625,1015,750,516,938,562,750
609,609,922,750,656,687,1156,562,750,922,953,719,672,578,984,641,1297,1015,578,750,968,453,1079,578,1000
